taxable_year,county,fp,population,all_returns,agi,median_income,median_rank,joint_returns,joint_returns_median_income,joint_returns_median_rank,tax_assessed,latitude,longitude,new_georeferenced_column
1995,San Joaquin,6077,524600,172256,5692303000,23398,22,83562,40616,20,171117000,37.933703,-121.3444014,POINT (-121.3444014 37.933703)
1995,San Luis Obispo,6079,228400,85726,2860988000,23127,25,40568,39944,21,87873000,35.27435015,-120.6124974,POINT (-120.6124974 35.27435015)
1995,San Mateo,6081,689700,308567,17167731000,31147,3,126529,57452,4,863600000,37.43944139,-122.3344603,POINT (-122.3344603 37.43944139)
1995,Santa Barbara,6083,391400,151749,5838842000,22475,27,66907,39290,23,230733000,34.42119106,-119.6988197,POINT (-119.6988197 34.42119106)
1995,Santa Clara,6085,1603300,717648,37637129000,30893,4,289108,59444,3,1797975000,37.23423826,-121.7317226,POINT (-121.7317226 37.23423826)
1995,Santa Cruz,4023,241500,105662,4006606000,22800,26,42503,43411,14,153658000,37.02159755,-121.9471295,POINT (-121.9471295 37.02159755)
1995,Shasta,6089,160900,56637,1779621000,22072,32,29959,34998,37,51501000,40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
1995,Sierra,6091,3400,1203,35792000,24069,19,657,36832,31,921000,39.56316056,-120.7739513,POINT (-120.7739513 39.56316056)
1995,Siskiyou,6093,44650,16210,432026000,19430,45,8534,30006,49,10849000,41.40245364,-123.1750119,POINT (-123.1750119 41.40245364)
1995,Solano,6095,370500,135254,4051865000,29296,6,64412,49968,6,142897000,38.17681839,-122.0352986,POINT (-122.0352986 38.17681839)
1995,Sonoma,6097,419500,179767,6779643000,25996,11,78857,46467,11,231091000,38.49367199,-122.9302632,POINT (-122.9302632 38.49367199)
1995,Stanislaus,6099,414000,143439,4423192000,21725,33,71377,36715,32,128272000,37.50148783,-121.2164803,POINT (-121.2164803 37.50148783)
1995,Sutter,6101,73800,26310,796138000,20924,37,14128,33410,42,22305000,39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
1995,Tehama,6103,54200,16251,422318000,18894,52,8646,28813,53,10407000,40.25506437,-122.2937715,POINT (-122.2937715 40.25506437)
1995,Trinity,6105,13400,4319,115690000,20107,41,2339,29965,50,2906000,40.84092907,-122.972844,POINT (-122.972844 40.84092907)
1995,Tulare,6107,349800,113524,2906264000,16423,56,55290,28275,55,76040000,36.28254312,-118.2652098,POINT (-118.2652098 36.28254312)
1995,Tuolumne,6109,51500,18269,558625000,22427,28,9773,34401,38,14834000,37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
1995,Ventura,6111,712700,281369,11450530000,26210,10,133610,47458,9,414669000,34.27709072,-119.2178496,POINT (-119.2178496 34.27709072)
1995,Yolo,6113,150800,56906,2064019000,23393,23,25019,43050,15,68312000,38.68382688,-121.9127421,POINT (-121.9127421 38.68382688)
1995,Yuba,6115,62300,17215,438958000,19313,48,8958,29012,52,9082000,39.27129476,-121.3793557,POINT (-121.3793557 39.27129476)
1996,Alameda,6001,1365000,568188,25880038000,29680,7,216668,57003,5,1021821000,37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
1996,Alpine,6003,1190,293,9377000,24832,20,164,37999,34,250000,38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
1996,Amador,6005,32950,12277,443653000,25804,16,6809,38759,32,13946000,38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
1996,Butte,6007,196500,67736,2034289000,20609,43,31857,34665,44,56571000,39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
1996,Calaveras,6009,36900,14341,471641000,24874,19,8092,37765,35,12242000,38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
