fips_code,RegionName,year,price
06023,Humboldt County,2002,157334.5058358762
06023,Humboldt County,2003,190052.5058881091
06023,Humboldt County,2004,229186.17846625796
06023,Humboldt County,2005,288325.0077703991
06023,Humboldt County,2006,324529.0471586042
06023,Humboldt County,2007,316026.37375658465
06023,Humboldt County,2008,304797.4710171298
06023,Humboldt County,2009,275657.5172324954
06023,Humboldt County,2010,264951.8232362674
06023,Humboldt County,2011,257527.6320816291
06023,Humboldt County,2012,236742.7736241374
06023,Humboldt County,2013,239157.39952403822
06023,Humboldt County,2014,249407.91808995165
06023,Humboldt County,2015,259176.869853684
06023,Humboldt County,2016,280569.76999938855
06023,Humboldt County,2017,306249.2785865229
06023,Humboldt County,2018,322619.06480337
06023,Humboldt County,2019,338651.41896239424
06023,Humboldt County,2020,351263.3399737352
06023,Humboldt County,2021,384973.79334953654
06023,Humboldt County,2022,423569.9124468631
06023,Humboldt County,2023,414656.7285422813
06025,Imperial County,2000,106236.30248359242
06025,Imperial County,2001,98025.41923894318
06025,Imperial County,2002,105248.54701590021
06025,Imperial County,2003,112070.08191520274
06025,Imperial County,2004,129169.3671865984
06025,Imperial County,2005,166070.31487395515
06025,Imperial County,2006,203333.26507977583
06025,Imperial County,2007,197245.02020617205
06025,Imperial County,2008,166621.7038257612
06025,Imperial County,2009,136956.4126219976
06025,Imperial County,2010,131262.91315274555
06025,Imperial County,2011,124461.01456165744
06025,Imperial County,2012,130599.69049574427
06025,Imperial County,2013,141933.21848170253
06025,Imperial County,2014,163079.44475042826
06025,Imperial County,2015,179721.92812047224
06025,Imperial County,2016,195229.63444673663
06025,Imperial County,2017,207715.3070162106
06025,Imperial County,2018,218790.0280659789
06025,Imperial County,2019,230824.01613392044
06025,Imperial County,2020,247183.40513398612
06025,Imperial County,2021,274420.6212735255
06025,Imperial County,2022,301559.10983300005
06025,Imperial County,2023,302861.8243267253
06027,Inyo County,2000,251441.74499507816
06027,Inyo County,2001,221931.47806610595
06027,Inyo County,2002,249577.36322118514
06027,Inyo County,2003,349091.1393165677
06027,Inyo County,2004,412987.6420318305
06027,Inyo County,2005,258048.68783710318
06027,Inyo County,2006,284093.75636711234
06027,Inyo County,2007,262438.5220542666
06027,Inyo County,2008,215356.60319235452
06027,Inyo County,2009,177723.91461533343
06027,Inyo County,2010,170369.44188152932
06027,Inyo County,2011,165331.09371393477
06027,Inyo County,2012,172044.28912551005
06027,Inyo County,2013,178790.23590268847
06027,Inyo County,2014,195189.733542776
06027,Inyo County,2015,202355.84037184692
06027,Inyo County,2016,264773.5405236325
06027,Inyo County,2017,286420.2901413426
06027,Inyo County,2018,324355.16872613406
06027,Inyo County,2019,345611.8581151744
06027,Inyo County,2020,364403.1235726943
06027,Inyo County,2021,412393.6812269085
06027,Inyo County,2022,460107.36561617436
06027,Inyo County,2023,468838.5236572457
06029,Kern County,2000,97131.21760336721
06029,Kern County,2001,101218.24773875887
06029,Kern County,2002,109758.14629426577
06029,Kern County,2003,126600.81320060133
06029,Kern County,2004,157005.5393189096
06029,Kern County,2005,212565.82110069378
06029,Kern County,2006,258910.5210030739
06029,Kern County,2007,258124.4912777765
06029,Kern County,2008,201390.29635758977
06029,Kern County,2009,144276.88931942274
06029,Kern County,2010,133571.0040422303
06029,Kern County,2011,123424.83081993186
06029,Kern County,2012,126282.02697151178
06029,Kern County,2013,148994.94181715194
06029,Kern County,2014,171378.65001870724
06029,Kern County,2015,184038.85699204018
06029,Kern County,2016,195255.97894063103
06029,Kern County,2017,204904.9655853136
06029,Kern County,2018,218608.92910342486
06029,Kern County,2019,230664.39109304524
06029,Kern County,2020,245928.48036073326
06029,Kern County,2021,287414.556892637
06029,Kern County,2022,333253.0619197711
06029,Kern County,2023,333764.85382820526
06031,Kings County,2000,106236.30248359242
06031,Kings County,2001,104908.33819419064
06031,Kings County,2002,108442.12654882717
06031,Kings County,2003,118492.65649383022
06031,Kings County,2004,143094.8046139291
06031,Kings County,2005,186994.86040942106
06031,Kings County,2006,223952.42526927896
06031,Kings County,2007,223957.15705886207
06031,Kings County,2008,197977.90292610376
06031,Kings County,2009,170381.949671027
06031,Kings County,2010,169233.82269005364
06031,Kings County,2011,147914.8632632537
06031,Kings County,2012,138537.50054072207
06031,Kings County,2013,145979.0537596983
06031,Kings County,2014,159505.54063236047
06031,Kings County,2015,170353.73765678026
06031,Kings County,2016,183971.4050320438
06031,Kings County,2017,202612.6129677031
06031,Kings County,2018,216885.42558810665
06031,Kings County,2019,228753.20836060037
06031,Kings County,2020,243976.58463595854
06031,Kings County,2021,287517.7851808069
06031,Kings County,2022,325576.77695285407
06031,Kings County,2023,326951.611438915
06033,Lake County,2000,251441.74499507816
06033,Lake County,2001,221931.47806610595
06033,Lake County,2002,249577.36322118514
06033,Lake County,2003,213265.21715336593
06033,Lake County,2004,258194.4967325577
06033,Lake County,2005,179152.02503844307
06033,Lake County,2006,203503.33632868796
06033,Lake County,2007,159539.99229678573
06033,Lake County,2008,148845.76855578166
06033,Lake County,2009,126117.01530925075
06033,Lake County,2010,121060.68980880264
06033,Lake County,2011,114405.45239319652
06033,Lake County,2012,115237.05071381886
06033,Lake County,2013,133761.74784461048
06033,Lake County,2014,154481.14096064135
06033,Lake County,2015,171143.27867090693
06033,Lake County,2016,192462.75190649915
06033,Lake County,2017,212088.37664921218
06033,Lake County,2018,234791.29209070432
06033,Lake County,2019,250352.31208254697
06033,Lake County,2020,263630.6578365458
06033,Lake County,2021,311676.87753697456
06033,Lake County,2022,343688.63792903506
06033,Lake County,2023,331364.3519115899
06035,Lassen County,2000,251441.74499507816
06035,Lassen County,2001,221931.47806610595
06035,Lassen County,2002,249577.36322118514
06035,Lassen County,2003,349091.1393165677
06035,Lassen County,2004,412987.6420318305
06035,Lassen County,2005,258048.68783710318
06035,Lassen County,2006,284093.75636711234
06035,Lassen County,2007,178671.5624406245
06035,Lassen County,2008,147523.341841794
06035,Lassen County,2009,125303.20154178316
06035,Lassen County,2010,120256.55560225582
06035,Lassen County,2011,116597.64981039742
06035,Lassen County,2012,120342.53312753829
06035,Lassen County,2013,124267.73026359716
06035,Lassen County,2014,126506.47601612326
06035,Lassen County,2015,130866.61540783198
06035,Lassen County,2016,146833.0901717832
06035,Lassen County,2017,160968.30604035317
06035,Lassen County,2018,176190.35009140175
06035,Lassen County,2019,184944.92538444532
06035,Lassen County,2020,195339.25242362183
06035,Lassen County,2021,228715.154183524
06035,Lassen County,2022,239618.1388454917
06035,Lassen County,2023,234128.73595283093
06037,Los Angeles County,2000,219918.4706772541
06037,Los Angeles County,2001,240971.1592299818
06037,Los Angeles County,2002,272945.89327968674
06037,Los Angeles County,2003,324051.6917752633
06037,Los Angeles County,2004,402022.01651911455
06037,Los Angeles County,2005,490367.7547072149
06037,Los Angeles County,2006,558609.0401786313
06037,Los Angeles County,2007,554774.6976986503
06037,Los Angeles County,2008,468033.1604594008
06037,Los Angeles County,2009,386544.95988966903
06037,Los Angeles County,2010,383044.22988171154
06037,Los Angeles County,2011,361829.77389401797
06037,Los Angeles County,2012,351976.43768109195
06037,Los Angeles County,2013,405881.70054450916
06037,Los Angeles County,2014,460041.66421055206
06037,Los Angeles County,2015,487259.3299892521
06037,Los Angeles County,2016,503278.9425901959
06037,Los Angeles County,2017,540974.1521123466
06037,Los Angeles County,2018,606917.0110701373
06037,Los Angeles County,2019,631210.9950160868
06037,Los Angeles County,2020,667665.4506388023
06037,Los Angeles County,2021,763655.6453979883
06037,Los Angeles County,2022,857057.3785462264
06037,Los Angeles County,2023,836028.1338657227
06039,Madera County,2000,106236.30248359242
06039,Madera County,2001,98025.41923894318
06039,Madera County,2002,105248.54701590021
06039,Madera County,2003,115312.23628003914
06039,Madera County,2004,142362.4380793191
06039,Madera County,2005,181950.6358909567
06039,Madera County,2006,219213.39579456617
06039,Madera County,2007,212997.1965177931
06039,Madera County,2008,170296.47611517692
06039,Madera County,2009,142347.20882863554
06039,Madera County,2010,137709.60284086157
06039,Madera County,2011,134490.23955889032
06039,Madera County,2012,136043.06723867482
06039,Madera County,2013,158570.11809150048
06039,Madera County,2014,183244.01069926016
06039,Madera County,2015,197493.90475374868
06039,Madera County,2016,209992.99691921336
06039,Madera County,2017,227033.0922099911
06039,Madera County,2018,254165.9998191597
06039,Madera County,2019,269365.5273526372
06039,Madera County,2020,287548.08360961865
06039,Madera County,2021,341661.8746914072
06039,Madera County,2022,392544.94569627073
06039,Madera County,2023,390660.9010379097
06041,Marin County,2000,472684.6703267416
06041,Marin County,2001,555712.4917634142
06041,Marin County,2002,588463.2998344161
06041,Marin County,2003,630567.9750211063
06041,Marin County,2004,698901.8068555212
06041,Marin County,2005,800179.1540577797
06041,Marin County,2006,848615.8544618486
06041,Marin County,2007,836589.0983174412
06041,Marin County,2008,774142.7340521296
06041,Marin County,2009,662605.5551333631
06041,Marin County,2010,643252.7393108074
06041,Marin County,2011,591976.9351655237
06041,Marin County,2012,612585.9782563123
06041,Marin County,2013,729515.3948802557
06041,Marin County,2014,806213.3882915354
06041,Marin County,2015,895596.8095032667
06041,Marin County,2016,965437.599455528
06041,Marin County,2017,1014741.6864137779
06041,Marin County,2018,1091073.248852595
06041,Marin County,2019,1096807.3085530328
06041,Marin County,2020,1145461.6268236323
06041,Marin County,2021,1356155.6076281837
06041,Marin County,2022,1535791.3504621221
06041,Marin County,2023,1461205.9143702672
06043,Mariposa County,2000,251441.74499507816
06043,Mariposa County,2001,221931.47806610595
06043,Mariposa County,2002,249577.36322118514
06043,Mariposa County,2003,349091.1393165677
06043,Mariposa County,2004,412987.6420318305
06043,Mariposa County,2005,258048.68783710318
06043,Mariposa County,2006,284093.75636711234
06043,Mariposa County,2007,259884.08505882215
06043,Mariposa County,2008,213252.14347320553
06043,Mariposa County,2009,179973.5523578463
06043,Mariposa County,2010,174436.123832822
06043,Mariposa County,2011,162372.26253538197
06043,Mariposa County,2012,164928.16046374262
06043,Mariposa County,2013,174036.66157702255
06043,Mariposa County,2014,196771.497158068
06043,Mariposa County,2015,214804.7838855806
06043,Mariposa County,2016,237429.3959365134
06043,Mariposa County,2017,256660.98455290482
06043,Mariposa County,2018,273873.74319349346
06043,Mariposa County,2019,283208.2087478038
06043,Mariposa County,2020,297305.9500923634
06043,Mariposa County,2021,353785.5238921564
06043,Mariposa County,2022,384204.42183505703
06043,Mariposa County,2023,372071.4154865031
06045,Mendocino County,2000,251441.74499507816
06045,Mendocino County,2001,221931.47806610595
06045,Mendocino County,2002,249577.36322118514
06045,Mendocino County,2003,213265.21715336593
06045,Mendocino County,2004,258194.4967325577
06045,Mendocino County,2005,305476.8154886055
06045,Mendocino County,2006,327431.2108296243
06045,Mendocino County,2007,351057.54340273165
06045,Mendocino County,2008,309124.14912875957
