,month,fibs_code,disaster_count
232,2017-12,06083,2
233,2017-12,06111,2
234,2018-06,06033,1
235,2018-06,06089,1
236,2018-07,06033,2
237,2018-07,06045,1
238,2018-07,06065,1
239,2018-07,06073,1
240,2018-07,06083,1
241,2018-07,06089,3
242,2018-07,06093,1
243,2018-07,06105,1
244,2018-07,06659,1
245,2018-08,06065,1
246,2018-11,06007,2
247,2018-11,06037,2
248,2018-11,06111,2
249,2020-08,06007,1
250,2020-08,06033,1
251,2020-08,06035,1
252,2020-08,06045,1
253,2020-08,06053,1
254,2020-08,06055,1
255,2020-08,06057,1
256,2020-08,06063,1
257,2020-08,06065,1
258,2020-08,06071,1
259,2020-08,06081,1
260,2020-08,06085,1
261,2020-08,06087,1
262,2020-08,06091,1
263,2020-08,06095,1
264,2020-08,06097,1
265,2020-08,06099,1
266,2020-08,06105,1
267,2020-08,06107,1
268,2020-08,06109,1
269,2020-08,06113,1
270,2020-08,06115,1
271,2020-08,06334,1
272,2020-09,06015,1
273,2020-09,06019,1
274,2020-09,06037,1
275,2020-09,06039,1
276,2020-09,06045,1
277,2020-09,06055,1
278,2020-09,06071,2
279,2020-09,06073,1
280,2020-09,06089,1
281,2020-09,06093,1
282,2020-09,06097,1
283,2020-09,06115,1
284,2021-06,06093,1
285,2021-07,06035,1
286,2021-07,06057,1
287,2021-07,06061,1
288,2021-07,06063,1
289,2021-07,06103,1
290,2021-07,06105,1
291,2021-08,06003,1
292,2021-08,06005,1
293,2021-08,06017,2
294,2021-08,06029,1
295,2021-08,06033,1
296,2021-08,06061,1
297,2021-09,06089,1
298,2021-10,06083,1
