MunicipalCodeFIPS,Region,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
37,Los Angeles County,219918.4706772541,272945.89327968674,324051.6917752633,402022.01651911455,490367.7547072149,558609.0401786313,554774.6976986503,468033.1604594008,386544.95988966903,383044.22988171154,361829.773894018,351976.43768109195,405881.70054450916,460041.66421055206,487259.3299892521,503278.942590196,540974.1521123466,606917.0110701373,631210.9950160868,667665.4506388023,763655.6453979883,857057.3785462264
73,San Diego County,229713.17883938435,305454.7097780379,366050.67364412657,449190.4932048391,529411.4960353725,537027.4027111769,501513.4685418659,426505.884624614,361648.1444238169,366434.16314067465,346604.9219800819,344274.6339326633,396685.01251388754,442389.4471424716,474682.30941104796,515148.42957075615,555713.2660378965,591910.3942436549,604407.415699238,640071.4684639514,751673.7412616451,875649.8978477822
59,Orange County,274423.04669695505,351959.763174222,417392.98783938825,526789.9000482658,621764.4931716541,680488.3657980663,653863.8425044125,542836.7720695391,479179.7789518062,483704.77652876155,455874.95304337254,447631.5220673491,520287.3710038064,581669.3740682538,607706.1239878553,628952.295896559,681381.186540179,734953.7423293091,739351.2577909554,774545.2816454829,881333.2311847453,1034314.2927716583
65,Riverside County,160029.9162459981,201423.690527125,236372.5068753182,294332.5473824927,370937.5674125618,416178.2916190029,402511.9925007645,305164.3246478963,219385.1040003867,212350.92807436152,205960.2390766075,206168.9818300339,246167.1738243281,293583.7627555526,315994.98031334946,334672.4647429863,355461.38311507733,388312.6236276888,401865.57301425375,422840.20083557675,497769.5513260231,585246.8120177159
71,San Bernardino County,133079.3756547704,163429.66785138592,192783.79023630393,244693.5785968059,317184.895398984,371684.7512907283,369768.0657121013,283922.8359561648,195064.58032939592,184873.3121922821,178607.34437591035,173152.42353111203,205138.87196194427,248131.27866135142,268604.96090481884,286079.32852775475,315144.24698687997,353756.4887758616,367754.5397175644,390379.5135199435,457588.04301505367,529298.4775575974
85,Santa Clara County,440093.6055460042,527257.9720905771,540782.8254643223,591924.2540590203,702645.3958216138,751600.0491423933,753645.6411905661,669683.4599311925,562301.8145772637,569786.5960241683,537657.0167118289,572876.2070876001,697520.535339748,782431.6111251526,893764.7962483192,959067.6585366247,994063.0512852737,1195197.484200169,1183630.3860517293,1196715.055604488,1358713.5125850781,1569350.581518233
1,Alameda County,302255.31409227685,393708.3030146712,427010.475210202,484363.00359933934,585124.0115790515,627743.2276817283,605581.4570539538,534153.8825787609,446659.0760152263,446991.3953426105,412947.2147911685,398108.2735820084,481141.49002870446,556032.0643154896,632143.7803329002,705021.3729418786,753902.1651961412,842282.8195975226,845727.0095051379,868442.0633445806,1019032.499467159,1152471.2166117274
67,Sacramento County,153930.3594888871,209841.25641929486,249245.6083057603,298229.7263027835,367952.6813418653,390201.1810170247,346158.6392485305,269263.6082348761,216624.17433541862,203193.5852127752,185016.3064622327,180657.5927193658,226743.8258803516,265758.3616413604,287478.10588509456,316157.11960774555,345434.2012688485,375109.6966449052,388616.3230237815,415125.63045272935,481683.6993613788,538168.5809269861
13,Contra Costa County,296149.5748373147,384126.0424758227,435463.4005358266,524289.1694868783,639007.6780733455,694064.1538291482,634956.0453618165,494541.68298816896,358483.6060842635,332599.7725344661,305057.64270926226,314270.6357083223,387508.67365660256,453491.9496904277,500525.2221303233,550012.3674121948,589001.8187123956,635870.597924126,648225.9629763637,675261.5168645825,788500.186478546,863376.9037114287
19,Fresno County,109992.38629163934,131570.9196353831,159528.8477492824,198863.92367851944,253507.74541810306,293560.8118441363,281815.2662371153,227524.839367906,173366.0241191895,163544.06851461297,144828.06213957784,144718.07033731163,166007.6713245916,188053.45034830217,200652.82733943427,215915.35241086863,233479.4887141128,255426.81960026067,269231.82596836187,284577.56102233456,331308.23013551644,380875.43421935214
29,Kern County,97131.21760336721,109758.14629426577,126600.81320060133,157005.5393189096,212565.82110069378,258910.5210030739,258124.4912777765,201390.29635758977,144276.88931942274,133571.0040422303,123424.83081993186,126282.02697151178,148994.94181715194,171378.65001870724,184038.85699204018,195255.978940631,204904.9655853136,218608.92910342486,230664.39109304527,245928.4803607332,287414.556892637,333253.0619197711
75,San Francisco County,421583.13957394665,511248.42887400487,549140.0292120619,617991.0299078599,720734.4708040181,749969.3068952399,758361.4264251726,724485.534363097,649234.1401371924,635003.5233351047,596060.9837724037,629305.6102789325,761944.8597352034,876142.2138324782,1027382.5233635106,1105317.8634127385,1143986.4968449995,1257121.7747503654,1268345.0872334032,1311360.1220422932,1360156.9157533112,1409001.365528771
111,Ventura County,272829.3471596005,341746.37565818295,408799.9127574691,503892.29906489956,602053.8821717212,654676.0182100666,610960.462534565,501900.8501068482,431569.41936168814,430960.27316116827,409935.26216856035,383167.3389970221,433028.74287993205,484943.0414854619,513683.060731496,547442.6154665637,580216.1595932429,611955.0284530035,622316.9415565628,647860.669195969,741543.3452596063,830310.6181611406
77,San Joaquin County,166505.58663590808,229464.79319417037,257139.08778926556,302894.3647423026,390325.066744851,438685.21217870846,395676.37997092673,256004.19989040136,177875.7485281237,177728.61966646044,165722.31021542352,164733.873506591,202185.09567812775,250245.22828130992,276378.5230758725,306303.12839663116,337530.82126927224,369765.92431326275,390547.4180317574,413090.34051802725,482787.2160659915,539510.4144437158
