fire_year,fips_code,fod_id
1998,6003,58
1998,6005,47
1998,6007,190
1998,6009,82
1998,6011,10
1998,6013,34
1998,6015,71
1998,6017,186
1998,6019,261
1998,6021,17
1998,6023,290
1998,6025,59
1998,6027,50
1998,6029,280
1998,6031,6
1998,6033,94
1998,6035,115
1998,6037,210
1998,6039,208
1998,6041,15
1998,6043,67
1998,6045,139
1998,6047,205
1998,6049,96
1998,6051,40
1998,6053,85
1998,6055,35
1998,6057,75
1998,6059,11
1998,6061,112
1998,6063,94
1998,6065,915
1998,6067,11
1998,6069,55
1998,6071,427
1998,6073,393
1998,6075,4
1998,6077,11
1998,6079,161
1998,6081,15
1998,6083,15
1998,6085,42
1998,6087,27
1998,6089,261
1998,6091,32
1998,6093,159
1998,6095,10
1998,6097,73
1998,6099,27
1998,6103,167
1998,6105,75
1998,6107,417
1998,6109,151
1998,6111,22
1998,6113,34
1998,6115,49
1999,6001,38
1999,6003,51
1999,6005,109
1999,6007,332
1999,6009,163
1999,6011,17
1999,6013,44
1999,6015,72
1999,6017,295
1999,6019,278
1999,6021,19
1999,6023,293
1999,6025,48
1999,6027,91
1999,6029,255
1999,6031,3
1999,6033,82
1999,6035,217
1999,6037,304
1999,6039,260
1999,6041,8
1999,6043,112
1999,6045,163
1999,6047,328
1999,6049,139
1999,6051,80
1999,6053,118
1999,6055,65
1999,6057,142
1999,6059,14
1999,6061,181
1999,6063,163
1999,6065,791
1999,6067,25
1999,6069,36
1999,6071,353
1999,6073,496
1999,6075,8
1999,6077,22
1999,6079,147
1999,6081,31
1999,6083,26
1999,6085,73
1999,6087,58
1999,6089,486
1999,6091,48
1999,6093,342
1999,6095,17
1999,6097,133
1999,6099,24
1999,6103,286
1999,6105,130
1999,6107,499
1999,6109,217
1999,6111,47
1999,6113,29
1999,6115,85
2000,6001,45
2000,6003,126
2000,6005,72
2000,6007,242
2000,6009,108
2000,6011,12
2000,6013,27
2000,6015,36
2000,6017,299
2000,6019,293
2000,6021,7
2000,6023,341
2000,6025,26
2000,6027,64
2000,6029,170
2000,6031,4
2000,6033,68
2000,6035,89
2000,6037,204
2000,6039,230
2000,6041,10
2000,6043,108
2000,6045,130
2000,6047,311
2000,6049,60
2000,6051,95
2000,6053,104
2000,6055,61
2000,6057,115
2000,6059,9
2000,6061,142
2000,6063,81
2000,6065,667
2000,6067,24
2000,6069,38
2000,6071,340
2000,6073,305
2000,6075,2
2000,6077,20
2000,6079,139
2000,6081,17
2000,6083,25
2000,6085,56
2000,6087,59
2000,6089,205
2000,6091,21
2000,6093,225
2000,6095,28
2000,6097,130
2000,6099,33
2000,6101,1
2000,6103,136
2000,6105,117
2000,6107,386
2000,6109,181
2000,6111,23
2000,6113,16
2000,6115,79
2001,6001,55
2001,6003,60
2001,6005,66
2001,6007,317
2001,6009,112
2001,6011,18
2001,6013,35
2001,6015,65
2001,6017,278
2001,6019,285
2001,6021,19
2001,6023,399
2001,6025,23
2001,6027,36
2001,6029,109
2001,6031,1
2001,6033,81
2001,6035,183
2001,6037,215
2001,6039,231
2001,6041,7
2001,6043,106
2001,6045,184
2001,6047,402
2001,6049,266
2001,6051,96
2001,6053,86
2001,6055,80
2001,6057,123
2001,6059,7
2001,6061,182
2001,6063,169
2001,6065,677
2001,6067,24
2001,6069,56
2001,6071,290
2001,6073,408
2001,6075,4
2001,6077,13
2001,6079,118
2001,6081,22
2001,6083,13
2001,6085,118
2001,6087,102
2001,6089,289
2001,6091,52
2001,6093,417
2001,6095,16
2001,6097,129
2001,6099,32
2001,6101,1
2001,6103,207
2001,6105,139
2001,6107,423
2001,6109,190
2001,6111,17
2001,6113,23
2001,6115,81
2002,6001,48
2002,6003,48
2002,6005,74
2002,6007,357
2002,6009,122
2002,6011,28
2002,6013,36
2002,6015,44
2002,6017,265
2002,6019,265
2002,6021,15
2002,6023,372
2002,6025,21
2002,6027,43
2002,6029,75
2002,6031,2
2002,6033,91
2002,6035,104
2002,6037,253
2002,6039,258
2002,6041,11
2002,6043,87
2002,6045,140
2002,6047,365
2002,6049,69
2002,6051,90
2002,6053,113
2002,6055,60
2002,6057,127
2002,6059,7
2002,6061,166
2002,6063,116
2002,6065,622
2002,6067,34
2002,6069,49
2002,6071,231
2002,6073,402
2002,6077,27
2002,6079,144
2002,6081,20
2002,6083,14
2002,6085,70
2002,6087,54
2002,6089,246
2002,6091,26
2002,6093,207
2002,6095,19
2002,6097,130
2002,6099,48
2002,6103,149
2002,6105,93
2002,6107,370
2002,6109,154
2002,6111,13
2002,6113,14
2002,6115,103
2003,6001,46
2003,6003,71
2003,6005,83
2003,6007,252
2003,6009,106
2003,6011,34
2003,6013,35
2003,6015,52
2003,6017,297
2003,6019,293
2003,6021,39
2003,6023,347
2003,6025,19
2003,6027,54
2003,6029,117
2003,6031,1
